fid,cid,PC1,PC2,PC3,PC4,PC5,PC6,percent.mt,sc_ge
HG00105,1,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.952584406706169,0.0
HG00105,2,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.042669587068764,0.0
HG00105,3,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.4274726611517814,0.0
HG00105,4,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.5739892137179908,0.0
HG00105,5,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.0586531375893816,0.0
HG00105,6,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.2662282996305888,0.0
HG00105,7,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.4633078722253531,0.0
HG00105,8,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.5866838789776868,0.0
HG00105,9,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.2855107818377554,1.0
HG00105,10,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.0236109713534873,1.0
HG00105,11,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.87946463424047,0.0
HG00105,12,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.4828768592549675,0.0
HG00105,13,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.8229750013344491,0.0
HG00105,14,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.7641375320908607,0.0
HG00105,15,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.6800834293404756,0.0
HG00105,16,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.2532974446833147,0.0
HG00105,17,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.1893028360417529,0.0
HG00105,18,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.3066337577836134,0.0
HG00105,19,-0.046003,-0.0489659,-0.0383098,-0.0214254,-0.00719964,-0.050519,0.3920906156633036,0.0
