fid,iid,cid,PC1,PC2,PC3,PC4,PC5,PC6,percent.mt,CDC37
NA12761,NA12761,1,-0.0721329,0.0635604,0.112819,-3.41985e-05,-0.00318633,-0.0396784,0.6621074650705044,0.0
NA20587,NA20587,2,-0.0655376,-0.0169823,-0.205379,-0.0807323,0.0621147,0.0205377,0.4426301329257556,0.0
HG01746,HG01746,3,0.16932,-0.0605708,-0.172988,-0.0249108,0.0631046,-0.360374,0.6335784999666059,0.0
HG00235,HG00235,4,0.0702569,0.0543347,-0.210826,0.0834999,-0.285695,-0.195144,0.7397704977677688,0.0
NA11920,NA11920,5,0.154122,-0.0142864,0.0476777,0.0931472,0.05589,0.0874918,0.2951899123270716,0.0
HG00129,HG00129,6,-0.0485976,-0.00237654,0.086968,-0.108024,0.00436165,-0.0286327,0.788036032909477,1.0
HG00271,HG00271,7,0.0110848,0.0276034,-0.0125053,0.177449,-0.210184,0.0173064,0.4226098518811794,0.0
NA12154,NA12154,8,-0.0616887,-0.0467905,0.0665983,0.0234178,-0.00023094,0.00283652,0.2745383465529635,0.0
HG00371,HG00371,9,0.279181,0.0181408,0.0292064,0.00501127,0.19155,0.284802,0.3933471335190742,0.0
HG02239,HG02239,10,-0.067103,0.0966702,0.020019,-0.109488,-0.0673061,0.0148621,0.4026642389956463,0.0
NA20515,NA20515,11,-0.0407623,-0.151595,0.122369,-0.101398,-0.0282697,-0.0777949,0.1697391747233292,0.0
NA07357,NA07357,12,0.240723,-0.016191,0.0865395,-0.0537512,-0.0165444,-0.189756,0.9184811359129812,0.0
NA12006,NA12006,13,-0.0724132,0.163063,0.0619221,-0.0503014,-0.0148985,-0.0233177,0.0877489836164127,0.0
HG00243,HG00243,14,-0.0168739,0.0768952,-0.00292851,-0.0261252,-0.044684,0.100262,0.2797347263664199,0.0
HG00110,HG00110,15,-0.0615003,-0.0103558,0.0819382,0.121776,-0.0347167,0.0152534,0.0040128071377641,0.0
NA20512,NA20512,16,0.0235139,-0.0491065,-0.00230655,0.197163,-0.102848,0.0037875,0.4987553983164285,0.0
NA20506,NA20506,17,-0.0349814,-0.114181,0.115726,-0.0489657,0.0491253,-0.0383884,0.3947584136293889,0.0
HG00118,HG00118,18,-0.0199218,0.0961853,0.0194594,-0.0229203,0.0108803,-0.188245,0.6683976281452438,0.0
